fips,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,mean_ntl
01001,1.073223791,1.275376068,1.347500578,1.252779446,1.259836841,1.263418188,1.163164776,1.000610968,0.746471881,1.166743807,1.268116176,1.35670215,1.17429993
01003,1.506165057,1.638982967,1.642010887,1.843942053,1.608009129,1.707148025,1.584777173,1.48190553,1.437507637,1.628954872,1.853676558,1.87714697,1.572574012
01005,0.470326442,0.683726877,0.678834137,0.712109436,0.73882714,0.693701228,0.613248097,0.579000466,0.577778641,0.673139282,0.798348357,0.765526969,0.577026659
01007,0.559506394,0.820115619,0.819416341,0.89127515,0.838521398,0.893506392,0.6797821,0.710178988,0.628030016,0.820372427,0.893571984,0.920354639,0.689811006
01009,0.872496043,1.063372717,1.151864121,1.032628969,1.019432429,0.693344233,0.954089038,0.882555121,0.889447198,1.015603966,1.110943137,1.2007332,0.96793438
01011,0.263048122,0.497297055,0.521459411,0.547413986,0.56857207,0.518219024,0.441451541,0.404251181,0.487865977,0.506342478,0.619198334,0.579076903,0.380172588
01013,0.366156143,0.598093904,0.619183101,0.633563416,0.642475122,0.594524155,0.533583319,0.531695314,0.515591641,0.601874435,0.726975753,0.677866835,0.482125023
01015,2.648486383,2.882578215,2.898530271,2.62449696,2.454085076,2.908954534,2.541317805,2.097153949,2.140728109,2.412034659,2.369053566,3.092363269,2.765532299
01017,0.790915371,0.959212435,1.047814622,1.034795623,0.968635577,0.978983303,0.912099021,0.802559585,0.890244098,0.935002877,1.074694299,1.125879099,0.875063903
01019,0.447508271,0.695995435,0.687366798,0.62910325,0.618406159,0.388543068,0.58007758,0.528668567,0.651751282,0.610316028,0.72734398,0.786700511,0.571751853
01021,0.899240004,1.113352514,1.107585077,1.118156561,1.110576444,1.060138901,0.86097331,0.88303899,0.722110327,0.993188807,1.107018552,1.145843832,1.006296259
01023,0.303796204,0.558410944,0.549831568,0.571980031,0.557281456,0.5199215,0.454883774,0.451332216,0.457357671,0.525161954,0.662159132,0.619679139,0.431103574
01025,0.44901414,0.689028787,0.692275364,0.752900681,0.705306742,0.748547123,0.609782547,0.588718382,0.600145907,0.67220551,0.794190749,0.771954255,0.569021463
01027,0.336802432,0.606493802,0.595446305,0.576502982,0.610137676,0.628028911,0.515092932,0.45597866,0.478488985,0.542848782,0.653304267,0.651251719,0.471648117
01029,0.460843152,0.723838978,0.728935933,0.687256994,0.69088365,0.656027245,0.593020372,0.552592047,0.645892242,0.633996072,0.73500368,0.77303019,0.592341065
01031,0.87175871,1.08880083,1.049436295,1.13103588,1.069542379,1.092165366,0.969378053,0.892621945,0.874124805,1.0600052,1.206586582,1.146902755,0.98027977
01033,1.664912012,1.934513063,1.525173243,1.7976839,1.92930484,0,1.755748171,1.730407696,1.556660838,1.830361786,2.109484095,2.16692644,1.799712538
01035,0.834829126,0.914417875,1.055304923,1.060753826,0.944744722,0.969392635,0.909984279,0.898824162,0.805208109,0.896899462,0.99904675,1.034692592,0.874623501
01037,0.241260679,0.510609501,0.516871222,0.484981246,0.535833505,0.475742863,0.437563034,0.393800792,0.400631382,0.469623879,0.571158572,0.550991872,0.37593509
01039,0.473571139,0.704648363,0.636240195,0.725111576,0.741271976,0.715022315,0.636890046,0.584782256,0.643786853,0.703450095,0.853487962,0.77506762,0.589109751
01041,0.339871928,0.56986039,0.580595361,0.586934348,0.623316025,0.568315449,0.525631706,0.490459213,0.52046152,0.573883696,0.695936308,0.666167069,0.454866159
01043,1.376765079,1.48142883,1.606876252,1.566403316,1.528838162,0.111380535,1.433549297,1.38819847,1.207612538,1.482350099,1.60404775,1.641940951,1.429096954
01045,1.100828833,1.282853196,1.246820294,1.324082631,1.268423959,1.294892627,1.156075599,1.102360919,1.018868516,1.288549541,1.415971367,1.36035037,1.191841014
01047,0.633427785,0.900525833,0.886521463,0.904528089,0.858925776,0.854668358,0.689869599,0.687294002,0.613483471,0.789240855,0.940169166,0.931785436,0.766976809
