fips,Mean_2019,Mean_2020,Mean_difference
5033,1.037086064,0.98352183,-0.053564234
5035,2.140000964,2.064218218,-0.075782746
5037,0.697599952,0.658529443,-0.039070509
5039,0.444104389,0.397151693,-0.046952696
5041,0.591007091,0.532783593,-0.058223498
5043,0.572377447,0.528810728,-0.043566719
5045,1.974464868,2.037883183,0.063418315
5047,0.547014161,0.491189281,-0.05582488
5049,0.410437679,0.349996229,-0.06044145
5051,1.578495893,1.66461607,0.086120177
5053,0.570690946,0.578964569,0.008273623
5055,1.120063113,1.101209331,-0.018853782
5057,0.81521975,0.794245448,-0.020974302
5059,0.806980567,0.838454205,0.031473638
5061,0.551430122,0.517723388,-0.033706734
5063,0.90620202,0.905736865,-0.000465155
5065,0.481082051,0.434226286,-0.046855765
5067,0.705454927,0.698321251,-0.007133676
5069,1.412475777,1.654403762,0.241927985
5071,0.6933239,0.66659284,-0.02673106
5073,0.482518905,0.425036333,-0.057482572
5075,0.603151053,0.53741234,-0.065738713
5077,0.583125454,0.530834153,-0.052291301
5079,0.543601071,0.53603731,-0.007563761
5081,0.714459103,0.675414472,-0.039044631
5083,0.535441936,0.484067985,-0.051373951
5085,1.117548857,1.17078652,0.053237663
5087,0.454262707,0.37969072,-0.074571987
5089,0.497701386,0.424170412,-0.073530974
5091,1.325943548,1.239394218,-0.08654933
5093,1.379399337,1.451440211,0.072040874
5095,0.510262753,0.459396621,-0.050866132
5097,0.358225988,0.295756252,-0.062469736
5099,0.483138932,0.426807746,-0.056331186
5101,0.330066098,0.260863217,-0.069202881
5103,0.658385864,0.61745066,-0.040935204
5105,0.442516555,0.399417626,-0.043098929
5107,0.729315004,0.696795142,-0.032519862
5109,0.419364231,0.3635419,-0.055822331
5111,0.654410827,0.614691369,-0.039719458
5113,0.425278813,0.373034624,-0.052244189
5115,1.043127385,1.008131918,-0.034995467
5117,0.469232559,0.431901496,-0.037331063
5119,6.453673784,6.903219732,0.449545948
5121,0.52465509,0.458173694,-0.066481396
5123,1.084260168,1.036563303,-0.047696865
5125,1.620255774,1.597896931,-0.022358843
5127,0.35660394,0.299017848,-0.057586092
5129,0.366428369,0.303766717,-0.062661652
5131,2.415375835,2.493881316,0.078505481
5133,0.519520467,0.492652373,-0.026868094
5135,0.547199892,0.500283706,-0.046916186
5137,0.479308724,0.43319449,-0.046114234
5139,1.018677146,1.004263968,-0.014413178
5141,0.438803811,0.374683656,-0.064120155
5143,2.339253036,2.236660275,-0.102592761
5145,1.178623745,1.169801994,-0.008821751
5147,0.455288571,0.418078567,-0.037210004
5149,0.476533614,0.432021929,-0.044511685
6001,8.089777303,8.530587535,0.440810232
6003,0.280659798,0.200708882,-0.079950916
