fips,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
01069,2.785473631,2.790378416,2.55178833,2.758118897,2.597280271,2.603857422,2.346936035,2.356625979,2.042287596,2.769591063,2.910181885,2.810932616,2.709213459
01071,0.686803552,0.95634217,0.945627754,0.872272479,0.854682045,0,0.806191798,0.683617972,0.807553595,0.882946433,0.981162509,0.973761095,0.862924492
01073,7.498539691,7.967923686,7.992719379,7.172232001,7.03569477,7.819197536,6.315966153,6.410365537,5.296347693,6.584347079,6.582041841,8.198200001,7.819727585
01075,0.40321217,0.603495898,0.682413399,0.635364629,0.670496808,0.465633546,0.546203282,0.551042616,0.540796489,0.586098449,0.736304692,0.700050135,0.563040489
01077,1.431176804,1.665681903,1.458217791,1.579111259,1.628791084,0,1.542650171,1.468780695,1.367804117,1.591771816,1.801833206,1.848935588,1.518358832
01079,0.676624549,0.75332605,0.702569826,0.794843245,0.85568972,0,0.759607637,0.734974349,0.772708531,0.79335075,0.936406991,0.940540565,0.710840142
01081,3.534441805,3.244921387,3.558418731,3.493523353,3.103826493,3.226269652,3.089735326,2.5210259,2.758888135,3.156163331,3.438042076,3.817615648,3.445927308
01083,2.063186149,2.171528633,2.074075981,2.251911912,2.190323881,0,2.27940827,2.107772048,2.00642833,2.220720611,2.434786506,2.454580298,2.102930254
01085,0.320865068,0.554460662,0.586994007,0.586672143,0.597475352,0.549650106,0.50603035,0.463148076,0.463053354,0.559862748,0.665124683,0.645026096,0.487439912
01087,0.682727585,0.953953568,1.024871911,1.021637693,0.956954482,0.942483988,0.855227585,0.701651418,0.689375571,0.879955398,1.024399587,1.033556725,0.887184354
01089,5.523039501,5.853666023,5.661695881,5.565926362,5.301112138,0,5.124004863,5.056349912,4.584261514,5.587119857,5.894837704,5.864539963,5.679467135
01091,0.443936503,0.705926822,0.660718252,0.721513383,0.680548121,0.674213411,0.555397209,0.57194049,0.490289721,0.620164436,0.768267368,0.74629271,0.603527192
01093,0.651128422,0.857780952,0.861944316,0.796216464,0.873191664,0.303948557,0.760621369,0.743770627,0.72936019,0.795976767,0.946802801,0.91799207,0.790284563
01095,1.66048177,2.069781013,2.045811889,1.902466879,1.838510894,1.062573087,1.854618416,1.565246906,1.702562136,1.902531478,2.081498961,2.17866966,1.925358224
01097,3.643337226,3.398634632,3.694885714,4.165850647,3.430518613,3.770716879,3.579785281,3.132913853,3.2164329,3.799204759,4.035490907,3.787982681,3.578952524
01099,0.469662531,0.653281975,0.67092378,0.782025497,0.683364466,0.728991682,0.58888192,0.612684074,0.586641669,0.656048541,0.813671255,0.729046903,0.597956095
01101,4.529845625,4.200995526,4.707893166,4.362765548,4.184654857,4.39846417,4.282748006,3.739921054,2.533222524,4.163057625,4.500217526,4.910199986,4.479578106
01103,2.626051912,2.601658697,2.349562844,2.655947178,2.727895034,0,2.64241462,2.468517758,2.326788477,2.770264114,2.97700478,3.101224956,2.525757818
01105,0.257805301,0.521868915,0.483780241,0.542791324,0.51391518,0.501143132,0.406962893,0.405775422,0.404519518,0.458547471,0.599220239,0.553517107,0.421151486
01107,0.407348909,0.590066977,0.660627725,0.661225076,0.674356696,0.682654983,0.543834113,0.564506231,0.547430684,0.587119158,0.695384734,0.698710279,0.552681204
01109,1.115554976,1.192598228,1.294926523,1.308990099,1.291948928,1.262245959,1.210989058,1.075066178,1.102235537,1.271277748,1.406966127,1.303470555,1.201026575
01111,0.562815211,0.784102197,0.845982174,0.775830064,0.766503861,0.767115863,0.664184193,0.615175281,0.646572785,0.722740343,0.826947117,0.871114675,0.730966527
01113,1.122678977,1.185032935,1.326397797,1.373595723,1.348968793,1.336470142,1.173326855,1.071899363,1.156342728,1.264099989,1.411031205,1.393434832,1.211369903
01115,1.514217515,1.730220255,1.750487933,1.546468542,1.530280325,1.798944039,1.501522814,1.322478659,1.216371587,1.504497839,1.645212349,1.894588468,1.664975234
01117,2.729229065,2.992555005,3.008506739,2.883764284,2.740395703,3.025842573,2.535854511,2.490072488,1.861757631,2.575517652,2.639034623,3.289443969,2.910096936
01119,0.326648331,0.557021926,0.540368248,0.593101076,0.602673236,0.566616243,0.482845902,0.486377875,0.46576973,0.535645962,0.644200471,0.616791197,0.474679502
01121,2.045107154,2.222726118,2.2389575,1.93574918,1.992221213,2.362319289,1.997606249,1.665016345,1.430996186,1.854465127,2.048934797,2.314850161,2.168930257
01123,0.785805628,0.988202022,1.008632845,0.936056105,0.915247289,0.963246196,0.857636396,0.798082702,0.680526459,0.886943253,1.065802895,1.033183348,0.927546832
01125,2.160843762,2.459950247,2.456062271,2.466894232,2.321346426,2.647593865,2.090310319,2.177008615,1.641789084,2.198684345,2.399977427,2.548872076,2.358952093
01127,1.16472564,1.282562392,1.412834188,1.355291452,1.329982904,1.387300001,1.184789743,1.110729059,1.026868375,1.240540171,1.366114529,1.440995727,1.286707407
01129,0.490737757,0.698189374,0.708479023,0.789104428,0.715235093,0.72759709,0.646259904,0.57394207,0.618931029,0.708072477,0.808608909,0.765240938,0.632468718
01131,0.25326341,0.520791083,0.505847202,0.560162551,0.528458859,0.522754857,0.421247001,0.434213948,0.429854478,0.48590216,0.62011688,0.560634723,0.426633898
01133,0.492670208,0.670362098,0.675610363,0.711206634,0.7117758,0.017974848,0.62591934,0.574512142,0.627082609,0.658835646,0.772791629,0.798384648,0.61288089
02013,0.30297559,0.306929685,0.171045304,0,0,0,0,0,0.201837774,0.338662392,0.311561821,0.774896102,0.26031686
02016,0.337397965,0.297091896,0.225482353,0,0,0,0,0,0.200180521,0.339048771,0.320148567,0.670720878,0.286657405
02020,6.713515208,6.222062271,0.037654191,0,0,0,0,0,0,2.055099493,6.310983193,7.368854725,4.324410557
02050,0.43744437,0.426980114,0.353936848,0,0,0,0,0,0,0.376183072,0.440952507,0.976487225,0.406120444
02060,0.512859044,0.457677026,0.404647482,0,0,0,0,0,0,0.376207567,0.393053607,0.914604986,0.458394517
02063,0.434851342,0.432741759,0.040194607,0,0,0,0,0,0,0.422013522,0.458266555,0.79321458,0.302595903
02066,0.51596042,0.587539313,0.126053456,0,0,0,0,0,0,0.551887934,0.668843432,0.86373542,0.409851063
02068,0.542165888,0.629169057,0.071831335,0,0,0,0,0,0,1.257883817,0.618568114,0.967193328,0.41438876
02070,0.432181568,0.406355406,0.323409103,0,0,0,0,0,0,0.383699968,0.405748936,0.950786417,0.387315359
02090,1.518536729,1.83372033,0.035427734,0,0,0,0,0,0,2.413824065,1.579472923,1.701481648,1.129228264
02100,0.519033775,0.478358541,0.227944359,0,0,0,0,0,0,0.426928545,0.501749834,0.731038892,0.408445558
02105,0.48333457,0.390322173,0.146359996,0,0,0,0,0,0,0.370677602,0.431382768,0.69837849,0.34000558
02110,0.739010768,0.608604359,0.163392316,0,0,0,0,0,0,0.49941423,0.613297611,0.814478527,0.503669148
02122,0.508573534,0.49113037,0.198833179,0,0,0,0,0,0,0.4315775,0.453869485,0.911534098,0.399512361
02130,0.443727511,0.370215208,0.21937785,0,0,0,0,0,0.042194544,0.358580557,0.436747075,0.488947151,0.34444019
02150,0.410429488,0.363723485,0.371886415,0,0,0,0,0,0.015838998,0.374171855,0.349782672,0.809111619,0.382013129
02158,0.43894734,0.432686245,0.365376217,0,0,0,0,0,0,0.408210217,0.493432699,0.994264448,0.412336601
02164,0.391010852,0.379465754,0.224417809,0,0,0,0,0,0.042206197,0.381752619,0.378760096,0.883592004,0.331631471
02170,0.601267423,0.583846575,0.09830504,0,0,0,0,0,0,0.59080871,0.677922097,1.039818118,0.427806346
02180,0.471152635,0.918183125,0.142516625,0,0,0,0,0,0,1.16240612,0.685446045,0.975672267,0.510617461
02185,1.297486137,1.328299332,0,0,0,0,0,0,0,0.018888356,1.400731142,1.539233973,0.875261823
02188,0.79327666,1.36091867,0,0,0,0,0,0,0,2.317779508,1.185743975,1.288427514,0.71806511
02195,0.487314217,0.434275807,0.207835708,0,0,0,0,0,0.001328158,0.373407252,0.451009371,0.648226913,0.376475244
02198,0.418001478,0.320710209,0.191984163,0,0,0,0,0,0.05569039,0.32917897,0.365880957,0.57392667,0.31023195
02220,0.520524829,0.382688728,0.17338994,0,0,0,0,0,0.021035042,0.349435996,0.40635083,0.637495993,0.358867833
02230,0.53885079,0.566531482,0.299628645,0,0,0,0,0,0,0.488502229,0.58391015,0.787987462,0.468336972
02240,0.743168274,0.821263184,0.422122709,0,0,0,0,0,0,1.116531278,0.916039217,1.096711397,0.662184723
02275,0.47565635,0.376683547,0.204498498,0,0,0,0,0,0.001537204,0.346143899,0.421795464,0.52826993,0.352279465
02282,0.469054819,0.433553266,0.001274968,0,0,0,0,0,0,0.429256024,0.464931119,0.787148895,0.301294351
02290,0.756847979,0.91898717,0.063359193,0,0,0,0,0,0,1.175314806,0.91027163,1.185212489,0.579731447
04001,0.226974623,0.302535426,0.415907602,0.389355511,0.400943933,0.066013219,0.278208114,0.322288042,0.335095797,0.384589038,0.433857907,0.403705055,0.315139217
04003,0.315476977,0.423150696,0.536361014,0.528376176,0.558130333,0.490383302,0.407619866,0.449667949,0.480752688,0.490094808,0.605929063,0.509413057,0.424996229
04005,0.156855234,0.292812946,0.354858261,0.357605145,0.346114042,0.001624811,0.271569087,0.275378611,0.305354297,0.339814568,0.376850337,0.320427131,0.26817548
04007,0.185727695,0.324086864,0.4438931,0.433294726,0.441685758,0.519287517,0.312788495,0.613892956,0.370360404,0.394133225,0.452740844,0.401461276,0.317902553
04009,0.179265468,0.284444194,0.407951162,0.392973785,0.414988466,0.36930457,0.279909363,0.315862622,0.345998952,0.373375582,0.443249139,0.364765843,0.290553608
04011,0.297386997,0.398385189,0.530745067,0.51246497,0.539978908,0.499667772,0.396165437,0.424859876,0.47500226,0.544549119,0.572128975,0.482432952,0.408839084
04012,0.184860572,0.32346155,0.394776183,0.415593947,0.41692723,0.370509403,0.317539367,0.297679101,0.370377161,0.369741784,0.415707539,0.360183918,0.301032768
04013,4.505304647,4.719643729,4.765046829,4.767403608,4.628453464,4.812621341,4.45433114,4.186536346,4.462475611,4.612554361,4.711442765,5.193492725,4.663331735
04015,0.254355161,0.39484968,0.450030974,0.483376214,0.479519219,0,0.401540959,0.376839,0.441738688,0.456881114,0.491842698,0.440031523,0.366411938
04017,0.238473851,0.324896747,0.431548116,0.4184647,0.403036909,0.081549267,0.305691516,0.33458604,0.357993519,0.398958321,0.437327563,0.400260472,0.331639571
04019,0.795256771,0.938460446,1.083525861,1.057166292,1.033418925,1.108824154,0.894740634,0.91316055,0.970485147,1.005494383,1.093649284,1.104945578,0.939081026
04021,0.743621399,0.883082796,1.051187333,1.023953206,0.991605067,1.018640552,0.872642674,0.957742061,0.969081839,0.991420012,1.039517819,1.07676489,0.892630509
04023,0.436722597,0.575149309,0.685951311,0.68729367,0.695190263,0.667946649,0.55449235,0.578770264,0.640077357,0.652264377,0.746767533,0.692325807,0.565941072
04025,0.234222299,0.40078568,0.483235621,0.484175935,0.477951722,0.036348693,0.386560022,0.378574536,0.424058763,0.475500522,0.487942734,0.441593704,0.372747867
04027,0.588607105,0.716376654,0.802275066,0.814553671,0.804262732,0.759808147,0.695315267,0.661990572,0.761202559,0.754664511,0.837878873,0.811885672,0.702419608
05001,0.451482263,0.561908217,0.584217328,0.585814979,0.713789395,0.006532375,0.538729396,0.584180403,0.59125478,0.592043386,0.794092046,0.680837399,0.532535936
05003,0.414687798,0.629507981,0.50117526,0.587942929,0.6471832,0.629494741,0.535949842,0.550367729,0.544517909,0.56240862,0.716442595,0.663872177,0.515123679
05005,0.78506384,1.040383036,0.786015732,0.976746465,1.080343137,0,0.866729366,0.889186046,0.868847468,0.882766757,1.089638621,1.082281121,0.870487536
05007,2.769086154,3.602057488,2.920371607,2.881758683,3.175782645,0,2.640386776,3.082649776,2.966654785,2.548608372,3.543018354,4.613044136,3.097171749
05009,0.803908376,1.149253071,0.922499723,1.061675335,1.18052451,0,1.007295562,0.976678102,0.916700231,0.933944892,1.147700564,1.109545204,0.958553723
05011,0.29804272,0.485015333,0.417321561,0.456538015,0.559839272,0.540414507,0.402970287,0.424411548,0.46862007,0.491229778,0.594478162,0.56295654,0.400126538
05013,0.312116454,0.508277178,0.413641915,0.508354596,0.578446187,0.564502234,0.450922473,0.459690328,0.49407262,0.499496238,0.612371605,0.561871114,0.411345182
05015,0.490205047,0.83839432,0.63975184,0.77056046,0.895487906,0,0.755917981,0.679983175,0.718206097,0.671361723,0.816658253,0.84489064,0.656117069
05017,0.414398997,0.671444611,0.566760902,0.637557894,0.698527316,0.69662456,0.564358897,0.602229575,0.574926315,0.581362406,0.746341852,0.658425061,0.55086817
05019,0.372746195,0.577011495,0.508755825,0.552586984,0.671738893,0.277723672,0.478747282,0.50414492,0.538561665,0.557499224,0.687152841,0.599391892,0.486171172
05021,0.358210966,0.631040207,0.535371279,0.627880938,0.596722714,0,0.500535771,0.554134726,0.562618275,0.559401566,0.699658484,0.529964491,0.508207484
05023,0.593100342,0.813523373,0.621653364,0.847726339,0.809720638,0,0.680725199,0.719381984,0.733891674,0.745395666,0.947185859,0.90940935,0.67609236
05025,0.246379648,0.407695408,0.367655117,0.427064579,0.488744098,0.475243466,0.364964891,0.360390239,0.413197882,0.406678946,0.522774259,0.490804649,0.340576724
05027,0.672785727,0.8471382,0.799320775,0.830191993,0.930760731,0.996806735,0.730303386,0.815142184,0.792711465,0.810919216,1.030372213,0.803394312,0.773081567
05029,0.665288771,0.874988639,0.743441348,0.988092789,0.997656342,0,0.848542388,0.899214396,0.891278248,0.846320697,1.03361473,0.94333373,0.761239586
05031,2.275067978,2.429853664,2.528167481,2.583708459,2.500110462,0,2.353255287,2.453114616,2.113833081,2.398443163,3.124812123,2.344077604,2.411029708
