fips,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Mean
01001,1.240192084,1.111873408,1.416433696,1.285426983,1.253344133,1.165485999,1.174569543,1.085923398,1.214976856,1.122527193,1.338441332,1.234597316,1.220315995
01003,1.667270237,1.380193503,1.52598244,1.639065144,1.715058821,1.581334504,1.558189287,1.5118223,1.609712027,1.571089728,1.704437576,1.663072872,1.593935703
01005,0.560562723,0.566094357,0.679144256,0.684079745,0.690820769,0.602139748,0.574709312,0.528798384,0.612617752,0.702176278,0.769356441,0.59447303,0.6304144
01007,0.687525292,0.599684269,0.859414118,0.741371872,0.74767871,0.652483602,0.660144524,0.615687604,0.691310728,0.706091161,0.816311283,0.689288494,0.705582638
01009,1.008441818,0.972458064,1.143561555,1.029011499,1.063249287,0.935213629,0.89691001,0.877303511,0.979226711,0.971761788,1.10417027,1.007993458,0.999108467
01011,0.406047898,0.338415786,0.513911626,0.496793344,0.512439848,0.463198787,0.422738925,0.368040252,0.433086351,0.514732403,0.586138969,0.422379132,0.45649361
01013,0.531234846,0.474133346,0.604943911,0.610150172,0.615677583,0.515360956,0.515587117,0.483786865,0.533844762,0.564436404,0.714978287,0.509591099,0.556143779
01015,2.998143145,2.704475577,3.095374741,2.739798559,2.654316902,2.608585415,2.63275152,2.482097682,2.617756022,2.564541977,2.852068426,2.507444293,2.704779521
01017,0.909899827,0.807712146,1.051365572,0.965448474,0.976064478,0.854061025,0.904892343,0.784657455,0.909613127,0.912443291,1.099859525,0.847967759,0.918665418
01019,0.605778665,0.615580148,0.700711921,0.625254991,0.606605817,0.291343981,0.555536794,0.506006846,0.574946948,0.605454648,0.718111807,0.583513976,0.582403878
01021,1.004827859,0.908488937,1.129350134,1.08336839,1.095756523,0.961153883,0.931627146,0.881600357,0.973898203,0.979437442,1.136865758,0.983794027,1.005847388
01023,0.433226888,0.349378858,0.522441125,0.52826309,0.513297005,0.490051064,0.424572822,0.39732871,0.473150675,0.497038336,0.621736147,0.430293423,0.473398179
01025,0.665109572,0.441515971,0.634763676,0.681510901,0.691322179,0.59901414,0.571535125,0.530633204,0.628770774,0.620893471,0.757842937,0.597492536,0.61836704
01027,0.497528682,0.509895594,0.564036255,0.52726939,0.576483478,0.461595916,0.458846948,0.424313905,0.490442864,0.529356355,0.642521797,0.473349014,0.512970017
01029,0.608816887,0.5995324,0.70569833,0.622021354,0.65394698,0.555892243,0.564053755,0.520677466,0.59188758,0.627701276,0.73522582,0.574612175,0.613338856
01031,1.008123764,0.87149974,1.158557462,1.095588143,1.123237648,0.947327092,0.967115965,0.922648987,1.040599063,1.094628185,1.171868956,1.014371295,1.034630525
01033,2.058718985,1.723044049,1.884180785,2.01859766,1.370724669,0,1.734746967,1.716858669,1.846989836,1.903912995,1.93648486,1.616301234,1.650880059
01035,1.656350846,0.988330162,1.457012002,1.303507654,1.441813818,1.027054198,1.014532065,1.004888703,1.273155979,1.05450145,1.207371947,0.859424906,1.190661977
01037,0.384245676,0.397182747,0.508922692,0.441694103,0.459069598,0.446846218,0.383361117,0.342100437,0.395815795,0.454354032,0.539618669,0.398250678,0.42928848
01039,0.597185555,0.542406005,0.669660536,0.679955369,0.701456586,0.602470922,0.57998918,0.545845956,0.627882066,0.688845685,0.764700432,0.630058154,0.635871371
01041,0.484158302,0.433151032,0.585669781,0.578158532,0.559626168,0.48201223,0.483163724,0.423980616,0.492496827,0.555211722,0.646467057,0.49431868,0.518201223
01043,1.663260431,1.47447421,1.767942407,1.502933295,1.612138691,1.34758429,1.373837251,1.327644431,1.501347731,1.498960268,1.639429559,1.567788409,1.523111748
01045,1.136163505,1.150286324,1.372941102,1.305427603,1.36871154,1.142522917,1.179763908,1.138148938,1.258012055,1.358371215,1.387303779,1.221500692,1.251596131
01047,0.762101924,0.713103546,0.802092056,0.791358286,0.801853106,0.712567844,0.734451963,0.673169804,0.751407626,0.731280046,0.915364771,0.779383942,0.764011243
01049,1.091771363,1.125334269,1.29838919,1.102060887,1.099320933,0.002121425,1.045100018,0.968781366,1.109782417,1.041466045,1.149574485,1.100682575,1.011198748
01051,1.740553493,1.532154596,1.947033187,1.64041565,1.721361467,1.469954405,1.590912946,1.479685081,1.610690276,1.502324248,1.80720602,1.684626232,1.6439098
01053,1.063845119,0.706091405,0.827405719,0.991940109,1.066993502,0.903757747,1.008908221,0.910957359,1.003247705,0.962592787,1.151141063,0.943432156,0.961692741
